D_ID	Section	Item	Class	Type	Period	Term	Value
1	Sales	Equal	Domestic	Actual	00:00.0	CMTD	34184.9
1	Sales	Equal	Domestic	Actual	00:00.0	CYQT	314698.09
1	Sales	Equal	Domestic	Actual	00:00.0	CYTD	1167159.71
1	Sales	Equal	Domestic	Actual	00:00.0	PYCM	421011.53
1	Sales	Equal	Domestic	Actual	00:00.0	PYQT	1189241.99
1	Sales	Equal	Domestic	Actual	00:00.0	PYTD	1658311.26
1	Sales	Equal	Domestic	Plan	00:00.0	CMTD	273301.45
1	Sales	Equal	Domestic	Plan	00:00.0	CYQT	1021610.32
1	Sales	Equal	Domestic	Plan	00:00.0	CYTD	1376332.98
2	Sales	Eco-Seal	Domestic	Actual	00:00.0	CMTD	15422.8
2	Sales	Eco-Seal	Domestic	Actual	00:00.0	CYQT	48749.5
2	Sales	Eco-Seal	Domestic	Actual	00:00.0	CYTD	99744.75
2	Sales	Eco-Seal	Domestic	Actual	00:00.0	PYCM	15161.06
2	Sales	Eco-Seal	Domestic	Actual	00:00.0	PYQT	37013.83
2	Sales	Eco-Seal	Domestic	Actual	00:00.0	PYTD	68097.71
2	Sales	Eco-Seal	Domestic	Plan	00:00.0	CMTD	140701.84
2	Sales	Eco-Seal	Domestic	Plan	00:00.0	CYQT	422105.52
2	Sales	Eco-Seal	Domestic	Plan	00:00.0	CYTD	703509.2
3	Sales	Equal	Domestic	Actual	00:00.0	PYTD	-21.44
3	Sales	STS	Domestic	Actual	00:00.0	CMTD	9135.1
3	Sales	STS	Domestic	Actual	00:00.0	CYQT	102896.34
3	Sales	STS	Domestic	Actual	00:00.0	CYTD	380614.74
3	Sales	STS	Domestic	Actual	00:00.0	PYCM	80001.62
3	Sales	STS	Domestic	Actual	00:00.0	PYQT	280926.68
3	Sales	STS	Domestic	Actual	00:00.0	PYTD	359235.36
3	Sales	STS	Domestic	Plan	00:00.0	CMTD	60078.62
3	Sales	STS	Domestic	Plan	00:00.0	CYQT	225015.09
3	Sales	STS	Domestic	Plan	00:00.0	CYTD	280305.64
4	Sales	Tire Paint	Domestic	Actual	00:00.0	CYQT	13278.05
4	Sales	Tire Paint	Domestic	Actual	00:00.0	CYTD	39823.1
4	Sales	Tire Paint	Domestic	Actual	00:00.0	PYCM	9852.25
4	Sales	Tire Paint	Domestic	Actual	00:00.0	PYQT	44676.06
4	Sales	Tire Paint	Domestic	Actual	00:00.0	PYTD	75893.64
4	Sales	Tire Paint	Domestic	Plan	00:00.0	CMTD	10443.37
4	Sales	Tire Paint	Domestic	Plan	00:00.0	CYQT	49395.43
4	Sales	Tire Paint	Domestic	Plan	00:00.0	CYTD	82486.04
